timestamp,service,metric,value
2026-06-22T13:08:00Z,origin-web,cpu_util_pct,38
2026-06-22T13:08:00Z,origin-web,render_latency_ms_p99,620
2026-06-22T13:08:00Z,origin-web,request_queue_depth,12
2026-06-22T13:08:00Z,cdn-edge,edge_5xx_rate,0.2
2026-06-22T13:08:00Z,cdn-edge,p99_latency_ms,40
2026-06-22T13:08:00Z,static-assets,error_rate_pct,0.1
2026-06-22T13:08:00Z,static-assets,p99_latency_ms,9
2026-06-22T13:08:00Z,image-resizer,error_rate_pct,0.9
2026-06-22T13:12:00Z,origin-web,cpu_util_pct,96
2026-06-22T13:12:00Z,origin-web,render_latency_ms_p99,1480
2026-06-22T13:12:00Z,origin-web,request_queue_depth,210
2026-06-22T13:12:00Z,cdn-edge,edge_5xx_rate,0.2
2026-06-22T13:12:00Z,cdn-edge,p99_latency_ms,42
2026-06-22T13:12:00Z,static-assets,error_rate_pct,0.1
2026-06-22T13:12:00Z,static-assets,p99_latency_ms,9
2026-06-22T13:12:00Z,image-resizer,error_rate_pct,1.0
2026-06-22T13:15:00Z,origin-web,cpu_util_pct,99
2026-06-22T13:15:00Z,origin-web,render_latency_ms_p99,5600
2026-06-22T13:15:00Z,origin-web,request_queue_depth,1120
2026-06-22T13:15:00Z,cdn-edge,edge_5xx_rate,0.3
2026-06-22T13:15:00Z,cdn-edge,p99_latency_ms,210
2026-06-22T13:15:00Z,static-assets,error_rate_pct,0.1
2026-06-22T13:15:00Z,static-assets,p99_latency_ms,10
2026-06-22T13:15:00Z,image-resizer,error_rate_pct,1.1
2026-06-22T13:18:00Z,origin-web,cpu_util_pct,99
2026-06-22T13:18:00Z,origin-web,render_latency_ms_p99,8100
2026-06-22T13:18:00Z,origin-web,request_queue_depth,1980
2026-06-22T13:18:00Z,cdn-edge,edge_5xx_rate,18.0
2026-06-22T13:18:00Z,cdn-edge,p99_latency_ms,8400
2026-06-22T13:18:00Z,static-assets,error_rate_pct,0.1
2026-06-22T13:18:00Z,static-assets,p99_latency_ms,10
2026-06-22T13:18:00Z,image-resizer,error_rate_pct,1.2
2026-06-22T13:20:00Z,origin-web,cpu_util_pct,99
2026-06-22T13:20:00Z,origin-web,render_latency_ms_p99,8400
2026-06-22T13:20:00Z,origin-web,request_queue_depth,2210
2026-06-22T13:20:00Z,cdn-edge,edge_5xx_rate,41.0
2026-06-22T13:20:00Z,cdn-edge,p99_latency_ms,11200
2026-06-22T13:20:00Z,static-assets,error_rate_pct,0.1
2026-06-22T13:20:00Z,static-assets,p99_latency_ms,10
2026-06-22T13:20:00Z,image-resizer,error_rate_pct,1.0
2026-06-22T13:22:00Z,origin-web,cpu_util_pct,99
2026-06-22T13:22:00Z,origin-web,render_latency_ms_p99,8600
2026-06-22T13:22:00Z,origin-web,request_queue_depth,2380
2026-06-22T13:22:00Z,cdn-edge,edge_5xx_rate,44.0
2026-06-22T13:22:00Z,cdn-edge,p99_latency_ms,10900
2026-06-22T13:22:00Z,static-assets,error_rate_pct,0.1
2026-06-22T13:22:00Z,static-assets,p99_latency_ms,9
2026-06-22T13:22:00Z,image-resizer,error_rate_pct,1.1
