timestamp,service,metric,value
2026-06-18T13:52:00Z,orders,db_pool_in_use,18
2026-06-18T13:52:00Z,orders,db_pool_max,50
2026-06-18T13:52:00Z,orders,p99_latency_ms,42
2026-06-18T13:52:00Z,orders,error_rate_pct,0.1
2026-06-18T13:52:00Z,checkout,p99_latency_ms,120
2026-06-18T13:52:00Z,checkout,error_rate_pct,0.2
2026-06-18T13:52:00Z,payments,p99_latency_ms,90
2026-06-18T13:52:00Z,payments,error_rate_pct,0.1
2026-06-18T13:52:00Z,frontend,p99_latency_ms,180
2026-06-18T13:52:00Z,frontend,error_rate_pct,0.2
2026-06-18T13:52:00Z,api-gateway,p99_latency_ms,210
2026-06-18T13:52:00Z,api-gateway,error_rate_pct,0.3
2026-06-18T13:52:00Z,search,p99_latency_ms,60
2026-06-18T13:52:00Z,search,error_rate_pct,0.1
2026-06-18T13:58:00Z,orders,db_pool_in_use,44
2026-06-18T13:58:00Z,orders,db_pool_max,50
2026-06-18T13:58:00Z,orders,p99_latency_ms,310
2026-06-18T13:58:00Z,orders,error_rate_pct,1.2
2026-06-18T13:58:00Z,checkout,p99_latency_ms,140
2026-06-18T13:58:00Z,checkout,error_rate_pct,0.3
2026-06-18T13:58:00Z,payments,p99_latency_ms,92
2026-06-18T13:58:00Z,payments,error_rate_pct,0.1
2026-06-18T13:58:00Z,frontend,p99_latency_ms,190
2026-06-18T13:58:00Z,frontend,error_rate_pct,0.2
2026-06-18T13:58:00Z,api-gateway,p99_latency_ms,220
2026-06-18T13:58:00Z,api-gateway,error_rate_pct,0.3
2026-06-18T13:58:00Z,search,p99_latency_ms,61
2026-06-18T13:58:00Z,search,error_rate_pct,0.1
2026-06-18T14:00:00Z,orders,db_pool_in_use,50
2026-06-18T14:00:00Z,orders,db_pool_max,50
2026-06-18T14:00:00Z,orders,db_pool_wait_count,318
2026-06-18T14:00:00Z,orders,p99_latency_ms,1900
2026-06-18T14:00:00Z,orders,error_rate_pct,9.0
2026-06-18T14:00:00Z,checkout,p99_latency_ms,420
2026-06-18T14:00:00Z,checkout,error_rate_pct,1.1
2026-06-18T14:00:00Z,payments,p99_latency_ms,95
2026-06-18T14:00:00Z,payments,error_rate_pct,0.2
2026-06-18T14:00:00Z,frontend,p99_latency_ms,240
2026-06-18T14:00:00Z,frontend,error_rate_pct,0.4
2026-06-18T14:00:00Z,api-gateway,p99_latency_ms,260
2026-06-18T14:00:00Z,api-gateway,error_rate_pct,0.5
2026-06-18T14:00:00Z,search,p99_latency_ms,62
2026-06-18T14:00:00Z,search,error_rate_pct,0.1
2026-06-18T14:03:00Z,orders,db_pool_in_use,50
2026-06-18T14:03:00Z,orders,db_pool_max,50
2026-06-18T14:03:00Z,orders,db_pool_wait_count,2401
2026-06-18T14:03:00Z,orders,p99_latency_ms,4800
2026-06-18T14:03:00Z,orders,error_rate_pct,33.0
2026-06-18T14:03:00Z,checkout,p99_latency_ms,3100
2026-06-18T14:03:00Z,checkout,error_rate_pct,12.0
2026-06-18T14:03:00Z,payments,p99_latency_ms,2600
2026-06-18T14:03:00Z,payments,error_rate_pct,9.5
2026-06-18T14:03:00Z,frontend,p99_latency_ms,1400
2026-06-18T14:03:00Z,frontend,error_rate_pct,4.0
2026-06-18T14:03:00Z,api-gateway,p99_latency_ms,1700
2026-06-18T14:03:00Z,api-gateway,error_rate_pct,6.0
2026-06-18T14:03:00Z,search,p99_latency_ms,63
2026-06-18T14:03:00Z,search,error_rate_pct,0.1
2026-06-18T14:07:00Z,orders,db_pool_in_use,50
2026-06-18T14:07:00Z,orders,db_pool_max,50
2026-06-18T14:07:00Z,orders,db_pool_wait_count,5900
2026-06-18T14:07:00Z,orders,p99_latency_ms,8000
2026-06-18T14:07:00Z,orders,error_rate_pct,61.0
2026-06-18T14:07:00Z,checkout,p99_latency_ms,7200
2026-06-18T14:07:00Z,checkout,error_rate_pct,38.0
2026-06-18T14:07:00Z,payments,p99_latency_ms,6800
2026-06-18T14:07:00Z,payments,error_rate_pct,31.0
2026-06-18T14:07:00Z,frontend,p99_latency_ms,6100
2026-06-18T14:07:00Z,frontend,error_rate_pct,28.0
2026-06-18T14:07:00Z,api-gateway,p99_latency_ms,7000
2026-06-18T14:07:00Z,api-gateway,error_rate_pct,41.0
2026-06-18T14:07:00Z,search,p99_latency_ms,64
2026-06-18T14:07:00Z,search,error_rate_pct,0.1
