timestamp,service,metric,value
2026-06-24T14:44:00Z,node:ip-10-0-37-88,disk_used_pct,61
2026-06-24T14:44:00Z,log-agent-v1,log_dir_bytes_gi,1.2
2026-06-24T14:44:00Z,dashboard-svc,error_rate_pct,0.2
2026-06-24T14:44:00Z,sbom-scanner,error_rate_pct,0.3
2026-06-24T14:44:00Z,platform-api,error_rate_pct,0.1
2026-06-24T14:48:00Z,node:ip-10-0-37-88,disk_used_pct,89
2026-06-24T14:48:00Z,log-agent-v1,log_dir_bytes_gi,6.4
2026-06-24T14:48:00Z,dashboard-svc,error_rate_pct,0.2
2026-06-24T14:48:00Z,sbom-scanner,error_rate_pct,0.4
2026-06-24T14:48:00Z,platform-api,error_rate_pct,0.1
2026-06-24T14:50:00Z,node:ip-10-0-37-88,disk_used_pct,96
2026-06-24T14:50:00Z,log-agent-v1,log_dir_bytes_gi,7.9
2026-06-24T14:50:00Z,dashboard-svc,error_rate_pct,0.3
2026-06-24T14:50:00Z,sbom-scanner,error_rate_pct,0.4
2026-06-24T14:50:00Z,platform-api,error_rate_pct,0.1
2026-06-24T14:52:00Z,node:ip-10-0-37-88,disk_used_pct,98
2026-06-24T14:52:00Z,log-agent-v1,log_dir_bytes_gi,8.6
2026-06-24T14:52:00Z,dashboard-svc,error_rate_pct,40.0
2026-06-24T14:52:00Z,sbom-scanner,error_rate_pct,33.0
2026-06-24T14:52:00Z,platform-api,error_rate_pct,0.1
2026-06-24T14:54:00Z,node:ip-10-0-37-88,disk_used_pct,72
2026-06-24T14:54:00Z,log-agent-v1,log_dir_bytes_gi,0.2
2026-06-24T14:54:00Z,dashboard-svc,error_rate_pct,44.0
2026-06-24T14:54:00Z,sbom-scanner,error_rate_pct,38.0
2026-06-24T14:54:00Z,platform-api,error_rate_pct,0.1
2026-06-24T14:54:00Z,node:ip-10-0-12-31,disk_used_pct,40
