timestamp,service,metric,value
2026-06-27T14:30:00Z,pricing-svc,get_price_p99_ms,45
2026-06-27T14:30:00Z,pricing-svc,rules_cache_reload_ms,8
2026-06-27T14:30:00Z,pricing-svc,error_rate_pct,0.1
2026-06-27T14:30:00Z,quote-svc,deadline_exceeded_rate_pct,0.0
2026-06-27T14:30:00Z,quote-svc,p99_latency_ms,160
2026-06-27T14:30:00Z,orders-api,error_rate_pct,0.2
2026-06-27T14:30:00Z,orders-api,p99_latency_ms,210
2026-06-27T14:30:00Z,mobile-bff,error_rate_pct,0.2
2026-06-27T14:30:00Z,mobile-bff,p99_latency_ms,260
2026-06-27T14:30:00Z,search-svc,error_rate_pct,0.1
2026-06-27T14:30:00Z,search-svc,p99_latency_ms,180
2026-06-27T14:33:00Z,pricing-svc,get_price_p99_ms,1840
2026-06-27T14:33:00Z,pricing-svc,rules_cache_reload_ms,1790
2026-06-27T14:33:00Z,pricing-svc,error_rate_pct,0.1
2026-06-27T14:33:00Z,quote-svc,deadline_exceeded_rate_pct,0.1
2026-06-27T14:33:00Z,quote-svc,p99_latency_ms,170
2026-06-27T14:33:00Z,orders-api,error_rate_pct,0.2
2026-06-27T14:33:00Z,orders-api,p99_latency_ms,212
2026-06-27T14:33:00Z,mobile-bff,error_rate_pct,0.2
2026-06-27T14:33:00Z,mobile-bff,p99_latency_ms,262
2026-06-27T14:33:00Z,search-svc,error_rate_pct,0.1
2026-06-27T14:33:00Z,search-svc,p99_latency_ms,182
2026-06-27T14:35:00Z,pricing-svc,get_price_p99_ms,2210
2026-06-27T14:35:00Z,pricing-svc,rules_cache_reload_ms,2160
2026-06-27T14:35:00Z,pricing-svc,error_rate_pct,0.1
2026-06-27T14:35:00Z,quote-svc,deadline_exceeded_rate_pct,18.0
2026-06-27T14:35:00Z,quote-svc,p99_latency_ms,2010
2026-06-27T14:35:00Z,quote-svc,config_422_rate_pct,1.2
2026-06-27T14:35:00Z,orders-api,error_rate_pct,0.6
2026-06-27T14:35:00Z,orders-api,p99_latency_ms,240
2026-06-27T14:35:00Z,mobile-bff,error_rate_pct,0.3
2026-06-27T14:35:00Z,mobile-bff,p99_latency_ms,270
2026-06-27T14:35:00Z,search-svc,error_rate_pct,0.1
2026-06-27T14:35:00Z,search-svc,p99_latency_ms,185
2026-06-27T14:37:00Z,pricing-svc,get_price_p99_ms,2350
2026-06-27T14:37:00Z,pricing-svc,rules_cache_reload_ms,2300
2026-06-27T14:37:00Z,pricing-svc,error_rate_pct,0.1
2026-06-27T14:37:00Z,quote-svc,deadline_exceeded_rate_pct,44.0
2026-06-27T14:37:00Z,quote-svc,p99_latency_ms,2010
2026-06-27T14:37:00Z,quote-svc,config_422_rate_pct,1.3
2026-06-27T14:37:00Z,orders-api,error_rate_pct,33.0
2026-06-27T14:37:00Z,orders-api,p99_latency_ms,4050
2026-06-27T14:37:00Z,mobile-bff,error_rate_pct,2.0
2026-06-27T14:37:00Z,mobile-bff,p99_latency_ms,520
2026-06-27T14:37:00Z,search-svc,error_rate_pct,0.2
2026-06-27T14:37:00Z,search-svc,p99_latency_ms,188
2026-06-27T14:39:00Z,pricing-svc,get_price_p99_ms,2390
2026-06-27T14:39:00Z,pricing-svc,rules_cache_reload_ms,2340
2026-06-27T14:39:00Z,pricing-svc,error_rate_pct,0.1
2026-06-27T14:39:00Z,quote-svc,deadline_exceeded_rate_pct,57.0
2026-06-27T14:39:00Z,quote-svc,p99_latency_ms,2010
2026-06-27T14:39:00Z,quote-svc,config_422_rate_pct,1.2
2026-06-27T14:39:00Z,orders-api,error_rate_pct,49.0
2026-06-27T14:39:00Z,orders-api,p99_latency_ms,4100
2026-06-27T14:39:00Z,mobile-bff,error_rate_pct,41.0
2026-06-27T14:39:00Z,mobile-bff,p99_latency_ms,12000
2026-06-27T14:39:00Z,search-svc,error_rate_pct,0.2
2026-06-27T14:39:00Z,search-svc,p99_latency_ms,190
2026-06-27T14:41:00Z,pricing-svc,get_price_p99_ms,2400
2026-06-27T14:41:00Z,pricing-svc,rules_cache_reload_ms,2350
2026-06-27T14:41:00Z,pricing-svc,error_rate_pct,0.1
2026-06-27T14:41:00Z,quote-svc,deadline_exceeded_rate_pct,61.0
2026-06-27T14:41:00Z,quote-svc,p99_latency_ms,2010
2026-06-27T14:41:00Z,quote-svc,config_422_rate_pct,1.1
2026-06-27T14:41:00Z,orders-api,error_rate_pct,53.0
2026-06-27T14:41:00Z,orders-api,p99_latency_ms,4100
2026-06-27T14:41:00Z,mobile-bff,error_rate_pct,44.0
2026-06-27T14:41:00Z,mobile-bff,p99_latency_ms,12000
2026-06-27T14:41:00Z,search-svc,error_rate_pct,0.2
2026-06-27T14:41:00Z,search-svc,p99_latency_ms,192
