timestamp,service,metric,value
2026-06-22T02:00:00Z,node-7,node_mem_available_mb,7800
2026-06-22T02:00:00Z,node-7,node_mem_used_pct,38
2026-06-22T02:00:00Z,batch-importer,rss_mb,180
2026-06-22T02:00:00Z,auth,error_rate_pct,0.2
2026-06-22T02:00:00Z,auth,p99_latency_ms,45
2026-06-22T02:00:00Z,cart,error_rate_pct,0.1
2026-06-22T02:00:00Z,cart,p99_latency_ms,60
2026-06-22T02:00:00Z,image-resize,error_rate_pct,0.1
2026-06-22T02:00:00Z,image-resize,p99_latency_ms,140
2026-06-22T02:00:00Z,catalog,error_rate_pct,0.1
2026-06-22T02:00:00Z,catalog,p99_latency_ms,80
2026-06-22T02:03:00Z,node-7,node_mem_available_mb,900
2026-06-22T02:03:00Z,node-7,node_mem_used_pct,93
2026-06-22T02:03:00Z,batch-importer,rss_mb,6100
2026-06-22T02:03:00Z,auth,error_rate_pct,0.3
2026-06-22T02:03:00Z,auth,p99_latency_ms,70
2026-06-22T02:03:00Z,cart,error_rate_pct,0.2
2026-06-22T02:03:00Z,cart,p99_latency_ms,75
2026-06-22T02:03:00Z,image-resize,error_rate_pct,0.1
2026-06-22T02:03:00Z,image-resize,p99_latency_ms,150
2026-06-22T02:03:00Z,catalog,error_rate_pct,0.1
2026-06-22T02:03:00Z,catalog,p99_latency_ms,81
2026-06-22T02:05:00Z,node-7,node_mem_available_mb,270
2026-06-22T02:05:00Z,node-7,node_mem_used_pct,98
2026-06-22T02:05:00Z,batch-importer,rss_mb,7100
2026-06-22T02:05:00Z,auth,error_rate_pct,1.0
2026-06-22T02:05:00Z,auth,p99_latency_ms,210
2026-06-22T02:05:00Z,cart,error_rate_pct,0.4
2026-06-22T02:05:00Z,cart,p99_latency_ms,110
2026-06-22T02:05:00Z,image-resize,error_rate_pct,0.3
2026-06-22T02:05:00Z,image-resize,p99_latency_ms,260
2026-06-22T02:05:00Z,catalog,error_rate_pct,0.1
2026-06-22T02:05:00Z,catalog,p99_latency_ms,82
2026-06-22T02:06:00Z,node-7,node_mem_available_mb,210
2026-06-22T02:06:00Z,node-7,node_mem_used_pct,99
2026-06-22T02:06:00Z,batch-importer,rss_mb,7400
2026-06-22T02:06:00Z,auth,error_rate_pct,33.0
2026-06-22T02:06:00Z,auth,p99_latency_ms,4200
2026-06-22T02:06:00Z,cart,error_rate_pct,21.0
2026-06-22T02:06:00Z,cart,p99_latency_ms,3100
2026-06-22T02:06:00Z,image-resize,error_rate_pct,26.0
2026-06-22T02:06:00Z,image-resize,p99_latency_ms,5200
2026-06-22T02:06:00Z,catalog,error_rate_pct,0.2
2026-06-22T02:06:00Z,catalog,p99_latency_ms,84
2026-06-22T02:12:00Z,node-7,node_mem_available_mb,180
2026-06-22T02:12:00Z,node-7,node_mem_used_pct,99
2026-06-22T02:12:00Z,batch-importer,rss_mb,7600
2026-06-22T02:12:00Z,auth,error_rate_pct,37.0
2026-06-22T02:12:00Z,auth,p99_latency_ms,6000
2026-06-22T02:12:00Z,cart,error_rate_pct,24.0
2026-06-22T02:12:00Z,cart,p99_latency_ms,3400
2026-06-22T02:12:00Z,image-resize,error_rate_pct,29.0
2026-06-22T02:12:00Z,image-resize,p99_latency_ms,5600
2026-06-22T02:12:00Z,catalog,error_rate_pct,0.2
2026-06-22T02:12:00Z,catalog,p99_latency_ms,85
