timestamp,service,metric,value
2026-06-21T03:04:00Z,metric-ingestor-1,consumer_lag,400
2026-06-21T03:04:00Z,metric-ingestor-1,commit_batch_ms,180
2026-06-21T03:04:00Z,metric-ingestor-1,queue_oldest_msg_age_s,5
2026-06-21T03:04:00Z,kafka-metric-ingestor,produce_timeout_rate_pct,0.0
2026-06-21T03:04:00Z,http-receiver,p99_latency_ms,45
2026-06-21T03:04:00Z,http-receiver,inbound_rps,5200
2026-06-21T03:04:00Z,http-receiver,error_rate_pct,0.1
2026-06-21T03:14:00Z,metric-ingestor-1,consumer_lag,21000
2026-06-21T03:14:00Z,metric-ingestor-1,commit_batch_ms,5200
2026-06-21T03:14:00Z,metric-ingestor-1,queue_oldest_msg_age_s,420
2026-06-21T03:14:00Z,kafka-metric-ingestor,produce_timeout_rate_pct,0.2
2026-06-21T03:14:00Z,http-receiver,p99_latency_ms,60
2026-06-21T03:14:00Z,http-receiver,inbound_rps,5300
2026-06-21T03:14:00Z,http-receiver,error_rate_pct,0.1
2026-06-21T03:18:00Z,metric-ingestor-1,consumer_lag,98000
2026-06-21T03:18:00Z,metric-ingestor-1,commit_batch_ms,5300
2026-06-21T03:18:00Z,metric-ingestor-1,queue_oldest_msg_age_s,810
2026-06-21T03:18:00Z,kafka-metric-ingestor,produce_timeout_rate_pct,14.0
2026-06-21T03:18:00Z,http-receiver,p99_latency_ms,1100
2026-06-21T03:18:00Z,http-receiver,inbound_rps,6200
2026-06-21T03:18:00Z,http-receiver,error_rate_pct,1.0
2026-06-21T03:21:00Z,metric-ingestor-1,consumer_lag,150000
2026-06-21T03:21:00Z,metric-ingestor-1,commit_batch_ms,5400
2026-06-21T03:21:00Z,metric-ingestor-1,queue_oldest_msg_age_s,1010
2026-06-21T03:21:00Z,kafka-metric-ingestor,produce_timeout_rate_pct,33.0
2026-06-21T03:21:00Z,http-receiver,p99_latency_ms,6200
2026-06-21T03:21:00Z,http-receiver,inbound_rps,7100
2026-06-21T03:21:00Z,http-receiver,error_rate_pct,22.0
2026-06-21T03:24:00Z,metric-ingestor-1,consumer_lag,190000
2026-06-21T03:24:00Z,metric-ingestor-1,commit_batch_ms,5450
2026-06-21T03:24:00Z,metric-ingestor-1,queue_oldest_msg_age_s,1048
2026-06-21T03:24:00Z,kafka-metric-ingestor,produce_timeout_rate_pct,41.0
2026-06-21T03:24:00Z,http-receiver,p99_latency_ms,6300
2026-06-21T03:24:00Z,http-receiver,inbound_rps,7000
2026-06-21T03:24:00Z,http-receiver,error_rate_pct,29.0
