timestamp,service,metric,value
2026-06-20T09:00:00Z,recommendation,p99_latency_ms,55
2026-06-20T09:00:00Z,recommendation,gc_pause_ms,8
2026-06-20T09:00:00Z,recommendation,heap_used_mb,420
2026-06-20T09:00:00Z,recommendation,error_rate_pct,0.1
2026-06-20T09:00:00Z,product-page,outbound_request_rate_rps,290
2026-06-20T09:00:00Z,product-page,retry_count,3
2026-06-20T09:00:00Z,product-page,cpu_pct,38
2026-06-20T09:00:00Z,product-page,error_rate_pct,0.2
2026-06-20T09:00:00Z,catalog,p99_latency_ms,30
2026-06-20T09:00:00Z,catalog,error_rate_pct,0.1
2026-06-20T09:00:00Z,api-edge,p99_latency_ms,120
2026-06-20T09:00:00Z,api-edge,error_rate_pct,0.2
2026-06-20T09:03:00Z,recommendation,p99_latency_ms,610
2026-06-20T09:03:00Z,recommendation,gc_pause_ms,240
2026-06-20T09:03:00Z,recommendation,heap_used_mb,1120
2026-06-20T09:03:00Z,recommendation,error_rate_pct,0.1
2026-06-20T09:03:00Z,product-page,outbound_request_rate_rps,292
2026-06-20T09:03:00Z,product-page,retry_count,4
2026-06-20T09:03:00Z,product-page,cpu_pct,39
2026-06-20T09:03:00Z,product-page,error_rate_pct,0.2
2026-06-20T09:03:00Z,catalog,p99_latency_ms,30
2026-06-20T09:03:00Z,catalog,error_rate_pct,0.4
2026-06-20T09:03:00Z,api-edge,p99_latency_ms,122
2026-06-20T09:03:00Z,api-edge,error_rate_pct,0.2
2026-06-20T09:05:00Z,recommendation,p99_latency_ms,980
2026-06-20T09:05:00Z,recommendation,gc_pause_ms,480
2026-06-20T09:05:00Z,recommendation,heap_used_mb,1510
2026-06-20T09:05:00Z,recommendation,error_rate_pct,0.2
2026-06-20T09:05:00Z,product-page,outbound_request_rate_rps,298
2026-06-20T09:05:00Z,product-page,retry_count,6
2026-06-20T09:05:00Z,product-page,cpu_pct,41
2026-06-20T09:05:00Z,product-page,error_rate_pct,0.2
2026-06-20T09:05:00Z,catalog,p99_latency_ms,30
2026-06-20T09:05:00Z,catalog,error_rate_pct,0.5
2026-06-20T09:05:00Z,api-edge,p99_latency_ms,121
2026-06-20T09:05:00Z,api-edge,error_rate_pct,0.2
2026-06-20T09:07:00Z,recommendation,p99_latency_ms,1400
2026-06-20T09:07:00Z,recommendation,gc_pause_ms,920
2026-06-20T09:07:00Z,recommendation,heap_used_mb,1980
2026-06-20T09:07:00Z,recommendation,error_rate_pct,0.4
2026-06-20T09:07:00Z,product-page,outbound_request_rate_rps,470
2026-06-20T09:07:00Z,product-page,retry_count,520
2026-06-20T09:07:00Z,product-page,cpu_pct,61
2026-06-20T09:07:00Z,product-page,error_rate_pct,1.0
2026-06-20T09:07:00Z,catalog,p99_latency_ms,31
2026-06-20T09:07:00Z,catalog,error_rate_pct,0.5
2026-06-20T09:07:00Z,api-edge,p99_latency_ms,300
2026-06-20T09:07:00Z,api-edge,error_rate_pct,0.4
2026-06-20T09:11:00Z,recommendation,p99_latency_ms,4200
2026-06-20T09:11:00Z,recommendation,gc_pause_ms,2600
2026-06-20T09:11:00Z,recommendation,heap_used_mb,2380
2026-06-20T09:11:00Z,recommendation,error_rate_pct,0.6
2026-06-20T09:11:00Z,product-page,outbound_request_rate_rps,860
2026-06-20T09:11:00Z,product-page,retry_count,4100
2026-06-20T09:11:00Z,product-page,cpu_pct,88
2026-06-20T09:11:00Z,product-page,error_rate_pct,6.0
2026-06-20T09:11:00Z,catalog,p99_latency_ms,32
2026-06-20T09:11:00Z,catalog,error_rate_pct,0.5
2026-06-20T09:11:00Z,api-edge,p99_latency_ms,900
2026-06-20T09:11:00Z,api-edge,error_rate_pct,3.0
2026-06-20T09:14:00Z,recommendation,p99_latency_ms,6900
2026-06-20T09:14:00Z,recommendation,gc_pause_ms,3400
2026-06-20T09:14:00Z,recommendation,heap_used_mb,2440
2026-06-20T09:14:00Z,recommendation,error_rate_pct,0.9
2026-06-20T09:14:00Z,product-page,outbound_request_rate_rps,1180
2026-06-20T09:14:00Z,product-page,retry_count,9800
2026-06-20T09:14:00Z,product-page,cpu_pct,95
2026-06-20T09:14:00Z,product-page,error_rate_pct,18.0
2026-06-20T09:14:00Z,catalog,p99_latency_ms,33
2026-06-20T09:14:00Z,catalog,error_rate_pct,0.5
2026-06-20T09:14:00Z,api-edge,p99_latency_ms,2100
2026-06-20T09:14:00Z,api-edge,error_rate_pct,11.0
