timestamp,service,metric,value
2026-06-24T14:44:00Z,kafka:ingest-shared,broker2_log_dir_used_pct,61
2026-06-24T14:44:00Z,kafka:ingest-shared,under_replicated_partitions,0
2026-06-24T14:44:00Z,kafka:ingest-shared,produce_latency_p99_ms,40
2026-06-24T14:44:00Z,metric-ingestor,error_rate_pct,0.2
2026-06-24T14:44:00Z,log-ingestor,error_rate_pct,0.3
2026-06-24T14:44:00Z,trace-ingestor,error_rate_pct,0.2
2026-06-24T14:44:00Z,billing,error_rate_pct,0.1
2026-06-24T14:44:00Z,api-gateway,error_rate_pct,0.1
2026-06-24T14:44:00Z,auth-service,error_rate_pct,0.4
2026-06-24T14:48:00Z,kafka:ingest-shared,broker2_log_dir_used_pct,89
2026-06-24T14:48:00Z,kafka:ingest-shared,under_replicated_partitions,18
2026-06-24T14:48:00Z,kafka:ingest-shared,produce_latency_p99_ms,260
2026-06-24T14:48:00Z,metric-ingestor,error_rate_pct,0.3
2026-06-24T14:48:00Z,log-ingestor,error_rate_pct,0.3
2026-06-24T14:48:00Z,trace-ingestor,error_rate_pct,0.2
2026-06-24T14:48:00Z,billing,error_rate_pct,0.1
2026-06-24T14:48:00Z,api-gateway,error_rate_pct,0.1
2026-06-24T14:48:00Z,auth-service,error_rate_pct,0.5
2026-06-24T14:50:00Z,kafka:ingest-shared,broker2_log_dir_used_pct,95
2026-06-24T14:50:00Z,kafka:ingest-shared,under_replicated_partitions,64
2026-06-24T14:50:00Z,kafka:ingest-shared,produce_latency_p99_ms,1400
2026-06-24T14:50:00Z,metric-ingestor,error_rate_pct,3.0
2026-06-24T14:50:00Z,log-ingestor,error_rate_pct,2.4
2026-06-24T14:50:00Z,trace-ingestor,error_rate_pct,2.1
2026-06-24T14:50:00Z,billing,error_rate_pct,0.1
2026-06-24T14:50:00Z,api-gateway,error_rate_pct,0.1
2026-06-24T14:50:00Z,auth-service,error_rate_pct,0.5
2026-06-24T14:52:00Z,kafka:ingest-shared,broker2_log_dir_used_pct,96
2026-06-24T14:52:00Z,kafka:ingest-shared,under_replicated_partitions,71
2026-06-24T14:52:00Z,kafka:ingest-shared,produce_latency_p99_ms,6100
2026-06-24T14:52:00Z,metric-ingestor,error_rate_pct,46.0
2026-06-24T14:52:00Z,log-ingestor,error_rate_pct,38.0
2026-06-24T14:52:00Z,trace-ingestor,error_rate_pct,35.0
2026-06-24T14:52:00Z,billing,error_rate_pct,0.1
2026-06-24T14:52:00Z,api-gateway,error_rate_pct,0.1
2026-06-24T14:52:00Z,auth-service,error_rate_pct,0.6
2026-06-24T14:54:00Z,kafka:ingest-shared,broker2_log_dir_used_pct,72
2026-06-24T14:54:00Z,kafka:ingest-shared,under_replicated_partitions,9
2026-06-24T14:54:00Z,kafka:ingest-shared,produce_latency_p99_ms,5200
2026-06-24T14:54:00Z,metric-ingestor,error_rate_pct,49.0
2026-06-24T14:54:00Z,log-ingestor,error_rate_pct,41.0
2026-06-24T14:54:00Z,trace-ingestor,error_rate_pct,37.0
2026-06-24T14:54:00Z,billing,error_rate_pct,0.1
2026-06-24T14:54:00Z,api-gateway,error_rate_pct,0.1
2026-06-24T14:54:00Z,auth-service,error_rate_pct,0.5
