timestamp,service,metric,value
2026-06-19T18:54:00Z,redis:session-cache-01,blocked_clients,1
2026-06-19T18:54:00Z,redis:session-cache-01,evicted_keys_per_sec,0
2026-06-19T18:54:00Z,redis:session-cache-01,used_memory_pct,58
2026-06-19T18:54:00Z,redis:session-cache-01,cmd_p99_latency_ms,1
2026-06-19T18:54:00Z,auth,error_rate_pct,0.2
2026-06-19T18:54:00Z,cart,error_rate_pct,0.2
2026-06-19T18:54:00Z,rate-limiter,error_rate_pct,0.1
2026-06-19T18:54:00Z,catalog,error_rate_pct,0.2
2026-06-19T18:54:00Z,api-gateway,error_rate_pct,0.3
2026-06-19T18:54:00Z,notification-svc,error_rate_pct,0.6
2026-06-19T19:02:30Z,redis:session-cache-01,blocked_clients,182
2026-06-19T19:02:30Z,redis:session-cache-01,evicted_keys_per_sec,40
2026-06-19T19:02:30Z,redis:session-cache-01,used_memory_pct,99
2026-06-19T19:02:30Z,redis:session-cache-01,cmd_p99_latency_ms,5200
2026-06-19T19:02:30Z,auth,error_rate_pct,0.4
2026-06-19T19:02:30Z,cart,error_rate_pct,0.3
2026-06-19T19:02:30Z,rate-limiter,error_rate_pct,0.2
2026-06-19T19:02:30Z,catalog,error_rate_pct,0.2
2026-06-19T19:02:30Z,api-gateway,error_rate_pct,0.3
2026-06-19T19:02:30Z,notification-svc,error_rate_pct,0.7
2026-06-19T19:03:30Z,redis:session-cache-01,blocked_clients,240
2026-06-19T19:03:30Z,redis:session-cache-01,evicted_keys_per_sec,9100
2026-06-19T19:03:30Z,redis:session-cache-01,used_memory_pct,100
2026-06-19T19:03:30Z,redis:session-cache-01,cmd_p99_latency_ms,14800
2026-06-19T19:03:30Z,auth,error_rate_pct,22.0
2026-06-19T19:03:30Z,cart,error_rate_pct,19.0
2026-06-19T19:03:30Z,rate-limiter,error_rate_pct,17.0
2026-06-19T19:03:30Z,catalog,error_rate_pct,0.2
2026-06-19T19:03:30Z,api-gateway,error_rate_pct,0.4
2026-06-19T19:03:30Z,notification-svc,error_rate_pct,0.8
2026-06-19T19:06:00Z,redis:session-cache-01,blocked_clients,260
2026-06-19T19:06:00Z,redis:session-cache-01,evicted_keys_per_sec,11200
2026-06-19T19:06:00Z,redis:session-cache-01,used_memory_pct,100
2026-06-19T19:06:00Z,redis:session-cache-01,cmd_p99_latency_ms,30000
2026-06-19T19:06:00Z,auth,error_rate_pct,44.0
2026-06-19T19:06:00Z,cart,error_rate_pct,38.0
2026-06-19T19:06:00Z,rate-limiter,error_rate_pct,35.0
2026-06-19T19:06:00Z,catalog,error_rate_pct,0.2
2026-06-19T19:06:00Z,api-gateway,error_rate_pct,0.4
2026-06-19T19:06:00Z,notification-svc,error_rate_pct,0.8
2026-06-19T19:09:00Z,redis:session-cache-01,blocked_clients,255
2026-06-19T19:09:00Z,redis:session-cache-01,evicted_keys_per_sec,10800
2026-06-19T19:09:00Z,redis:session-cache-01,used_memory_pct,100
2026-06-19T19:09:00Z,redis:session-cache-01,cmd_p99_latency_ms,30000
2026-06-19T19:09:00Z,auth,error_rate_pct,47.0
2026-06-19T19:09:00Z,cart,error_rate_pct,41.0
2026-06-19T19:09:00Z,rate-limiter,error_rate_pct,39.0
2026-06-19T19:09:00Z,catalog,error_rate_pct,0.3
2026-06-19T19:09:00Z,api-gateway,error_rate_pct,0.5
2026-06-19T19:09:00Z,notification-svc,error_rate_pct,0.7
2026-06-19T19:11:00Z,redis:session-cache-01,blocked_clients,258
2026-06-19T19:11:00Z,redis:session-cache-01,evicted_keys_per_sec,10500
2026-06-19T19:11:00Z,redis:session-cache-01,used_memory_pct,100
2026-06-19T19:11:00Z,redis:session-cache-01,cmd_p99_latency_ms,30000
2026-06-19T19:11:00Z,auth,error_rate_pct,49.0
2026-06-19T19:11:00Z,cart,error_rate_pct,43.0
2026-06-19T19:11:00Z,rate-limiter,error_rate_pct,40.0
2026-06-19T19:11:00Z,catalog,error_rate_pct,0.2
2026-06-19T19:11:00Z,api-gateway,error_rate_pct,0.5
2026-06-19T19:11:00Z,notification-svc,error_rate_pct,0.8
